rank,name,long_name,short_name,ticker,country,sector,industry,exchange_code,exchange_name,market,quote_type,listing_currency,hq_city,hq_state,hq_country,website,employees,founded_year,first_trade_date,market_cap_04_08_2025,price_04_08_2025,market_cap_current,price_current,price_file_hourly,hourly_rows,hourly_start,hourly_end,price_file_daily,daily_rows,daily_start,daily_end,data_available
11,SK Hynix,SK hynix Inc.,SK hynix,000660.KS,South Korea,Technology,Semiconductors,KSC,KSE,kr_market,EQUITY,KRW,Icheon-si,,South Korea,https://www.skhynix.com,47639.0,1949.0,2000-01-04,128056759188,185.497,1167711279251456.0,1645000.0,price/South_Korea/000660.KS.csv,4367,2023-08-14 09:00:00+09:00,2026-08-14 14:00:00+09:00,price_daily/South_Korea/000660.KS.csv,6654,2000-01-04 00:00:00+09:00,2026-08-14 00:00:00+09:00,True
12,Lam Research,Lam Research Corporation,Lam Research Corporation,LRCX,United States,Technology,Semiconductor Equipment & Materials,NMS,NasdaqGS,us_market,EQUITY,USD,Fremont,CA,United States,https://www.lamresearch.com,23300.0,1980.0,1984-05-04,122268475392,96.37,415889031168.0,332.36,price/United_States/LRCX.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/LRCX.csv,10652,1984-05-04 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
13,Micron Technology,"Micron Technology, Inc.","Micron Technology, Inc.",MU,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Boise,ID,United States,https://www.micron.com,53000.0,1978.0,1984-06-01,117374353408,104.88,1097386098688.0,971.66,price/United_States/MU.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/MU.csv,10633,1984-06-01 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
14,KLA,KLA Corporation,KLA Corporation,KLAC,United States,Technology,Semiconductor Equipment & Materials,NMS,NasdaqGS,us_market,EQUITY,USD,Milpitas,CA,United States,https://www.kla.com,17000.0,1975.0,1980-10-08,117250162688,886.64,266169712640.0,203.72,price/United_States/KLAC.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/KLAC.csv,11555,1980-10-08 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
15,Synopsys,"Synopsys, Inc.","Synopsys, Inc.",SNPS,United States,Technology,Software - Infrastructure,NMS,NasdaqGS,us_market,EQUITY,USD,Sunnyvale,CA,United States,https://www.synopsys.com,28000.0,1986.0,1992-02-26,114477473792,618.65,80708534272.0,421.5,price/United_States/SNPS.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/SNPS.csv,8678,1992-02-26 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
16,Analog Devices,"Analog Devices, Inc.","Analog Devices, Inc.",ADI,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Wilmington,MA,United States,https://www.analog.com,24500.0,1965.0,1980-03-17,110023147520,221.71,189666836480.0,389.39,price/United_States/ADI.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/ADI.csv,11698,1980-03-17 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
17,Intel,Intel Corporation,Intel Corporation,INTC,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Santa Clara,CA,United States,https://www.intel.com,85100.0,1968.0,1980-03-17,84519870464,19.31,541825761280.0,102.5,price/United_States/INTC.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/INTC.csv,11698,1980-03-17 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
18,MediaTek,MediaTek Inc.,MEDIATEK INC,2454.TW,Taiwan,Technology,Semiconductors,TAI,Taiwan,tw_market,EQUITY,TWD,Hsinchu City,,Taiwan,https://www.mediatek.com,,1997.0,2001-07-23,72108276513,45.2413,6719556026368.0,4210.0,price/Taiwan/2454.TW.csv,3639,2023-08-15 09:00:00+08:00,2026-08-14 13:00:00+08:00,price_daily/Taiwan/2454.TW.csv,6214,2001-07-23 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
19,Tokyo Electron,Tokyo Electron Limited,TOKYO ELECTRON,8035.T,Japan,Technology,Semiconductor Equipment & Materials,JPX,Tokyo,jp_market,EQUITY,JPY,Tokyo,,Japan,https://www.tel.com,20236.0,1951.0,2000-01-04,69418586488,151.533,26883525705728.0,59130.0,price/Japan/8035.T.csv,5090,2023-08-18 09:00:00+09:00,2026-08-14 15:00:00+09:00,price_daily/Japan/8035.T.csv,6641,2000-01-04 00:00:00+09:00,2026-08-14 00:00:00+09:00,True
20,Marvell Technology,"Marvell Technology, Inc.","Marvell Technology, Inc.",MRVL,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Wilmington,DE,United States,https://www.marvell.com,7480.0,1995.0,2000-06-30,64190787584,74.45,199272824832.0,222.02,price/United_States/MRVL.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/MRVL.csv,6569,2000-06-30 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
21,SMIC,Semiconductor Manufacturing International Corporation,SMIC,0981.HK,China,Technology,Semiconductors,HKG,HKSE,hk_market,EQUITY,HKD,Shanghai,,China,https://www.smics.com,19952.0,2000.0,2004-03-18,62621601565,6.37596,606105108480.0,70.8,price/China/0981.HK.csv,5062,2023-08-23 09:30:00+08:00,2026-08-14 15:30:00+08:00,price_daily/China/0981.HK.csv,5536,2004-03-18 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
22,NXP Semiconductors,NXP Semiconductors N.V.,NXP Semiconductors N.V.,NXPI,Netherlands,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Eindhoven,,Netherlands,https://www.nxp.com,32169.0,2006.0,2010-08-06,52923981824,209.92,59185455104.0,234.71,price/Netherlands/NXPI.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/Netherlands/NXPI.csv,4030,2010-08-06 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
23,Infineon,Infineon Technologies AG,INFINEON TECHNOLOGIES AG      N,IFX.DE,Germany,Technology,Semiconductors,GER,XETRA,de_market,EQUITY,EUR,Neubiberg,,Germany,https://www.infineon.com,56992.0,1952.0,2000-03-13,50627527513,38.9625,80218112000.0,61.73,price/Germany/IFX.DE.csv,6556,2023-09-28 09:00:00+02:00,2026-08-14 17:00:00+02:00,price_daily/Germany/IFX.DE.csv,6751,2000-03-13 00:00:00+01:00,2026-08-14 00:00:00+02:00,True
24,Advantest,Advantest Corporation,ADVANTEST CORP,6857.T,Japan,Technology,Semiconductor Equipment & Materials,JPX,Tokyo,jp_market,EQUITY,JPY,Chiyoda,,Japan,https://www.advantest.com,7241.0,1946.0,2000-01-04,50555941713,69.0875,26697351036928.0,36870.0,price/Japan/6857.T.csv,5089,2023-08-18 09:00:00+09:00,2026-08-14 15:00:00+09:00,price_daily/Japan/6857.T.csv,6641,2000-01-04 00:00:00+09:00,2026-08-14 00:00:00+09:00,True
25,Cambricon Technologies,Cambricon Technologies Corporation Limited,CAMBRICON TECHNOLOGIES CORPORAT,688256.SS,China,Technology,Semiconductors,SHH,Shanghai,cn_market,EQUITY,CNY,Beijing,,China,https://www.cambricon.com,1249.0,2016.0,2020-07-20,39975179794,95.5544,686724218880.0,1093.0,price/China/688256.SS.csv,4024,2023-08-10 09:30:00+08:00,2026-08-14 14:30:00+08:00,price_daily/China/688256.SS.csv,1474,2020-07-20 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
26,Monolithic Power Systems,"Monolithic Power Systems, Inc.","Monolithic Power Systems, Inc.",MPWR,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,West Palm Beach,FL,United States,https://www.monolithicpower.com,4501.0,1997.0,2004-11-19,37615484928,785.62,68898979840.0,1402.01,price/United_States/MPWR.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/MPWR.csv,5467,2004-11-19 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
27,Microchip Technology,Microchip Technology Incorporated,Microchip Technology Incorporat,MCHP,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Chandler,AZ,United States,https://www.microchip.com,17900.0,1989.0,1993-03-19,35812835328,66.36,42989998080.0,79.17,price/United_States/MCHP.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/MCHP.csv,8409,1993-03-19 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
28,NAURA Technology Group,"NAURA Technology Group Co., Ltd.",NAURA,002371.SZ,China,Technology,Semiconductor Equipment & Materials,SHZ,Shenzhen,cn_market,EQUITY,CNY,Beijing,,China,https://www.naura.com,21101.0,2001.0,2010-03-16,33000258919,45.7319,536037588992.0,738.66,price/China/002371.SZ.csv,4368,2023-08-10 09:30:00+08:00,2026-08-14 14:30:00+08:00,price_daily/China/002371.SZ.csv,3988,2010-03-16 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
29,Disco Corp.,Disco Corporation,DISCO CORPORATION,6146.T,Japan,Technology,Semiconductor Equipment & Materials,JPX,Tokyo,jp_market,EQUITY,JPY,Ota,,Japan,https://www.disco.co.jp,5547.0,1937.0,2001-01-01,32193915801,296.978,7101382393856.0,65470.0,price/Japan/6146.T.csv,5084,2023-08-18 09:00:00+09:00,2026-08-14 15:00:00+09:00,price_daily/Japan/6146.T.csv,6382,2001-01-01 00:00:00+09:00,2026-08-14 00:00:00+09:00,True
30,ASM International,ASM International NV,ASM International N.V.,ASM.AS,Netherlands,Technology,Semiconductor Equipment & Materials,AMS,Amsterdam,nl_market,EQUITY,EUR,Almere,,Netherlands,https://www.asm.com,4908.0,1968.0,1999-01-06,24577196726,480.115,43779706880.0,893.8,price/Netherlands/ASM.AS.csv,6556,2023-10-04 09:00:00+02:00,2026-08-14 17:00:00+02:00,price_daily/Netherlands/ASM.AS.csv,7101,1999-01-06 00:00:00+01:00,2026-08-14 00:00:00+02:00,True
31,ON Semiconductor,ON Semiconductor Corporation,ON Semiconductor Corporation,ON,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Scottsdale,AZ,United States,https://www.onsemi.com,22600.0,1992.0,2000-05-02,23744225280,56.82,32180506624.0,82.66,price/United_States/ON.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/ON.csv,6611,2000-05-02 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
32,ASE Group,"ASE Technology Holding Co., Ltd.","ASE Technology Holding Co., Ltd",ASX,Taiwan,Technology,Semiconductors,NYQ,NYSE,us_market,EQUITY,USD,Kaohsiung,,Taiwan,https://www.aseglobal.com,114179.0,1984.0,2000-10-02,23406282752,10.01,102948929536.0,39.54,price/Taiwan/ASX.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/Taiwan/ASX.csv,6505,2000-10-02 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
33,STMicroelectronics,STMicroelectronics N.V.,STMicroelectronics N.V.,STM,Switzerland,Technology,Semiconductors,NYQ,NYSE,us_market,EQUITY,USD,Schiphol,,Netherlands,https://www.st.com/content/st_com/en.html,49000.0,1987.0,1994-12-08,23347775488,25.06,48457543680.0,54.29,price/Switzerland/STM.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/Switzerland/STM.csv,7973,1994-12-08 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
34,Renesas Electronics,Renesas Electronics Corporation,RENESAS ELECTRONICS CORP,6723.T,Japan,Technology,Semiconductors,JPX,Tokyo,jp_market,EQUITY,JPY,Tokyo,,Japan,https://www.renesas.com,,2002.0,2003-07-24,22336916145,12.431,6845774692352.0,3746.0,price/Japan/6723.T.csv,5090,2023-08-18 09:00:00+09:00,2026-08-14 15:00:00+09:00,price_daily/Japan/6723.T.csv,5714,2003-07-24 00:00:00+09:00,2026-08-14 00:00:00+09:00,True
35,Astera Labs,"Astera Labs, Inc.","Astera Labs, Inc.",ALAB,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,San Jose,CA,United States,https://www.asteralabs.com,756.0,2017.0,2024-03-20,21620619264,131.1,55794540544.0,321.61,price/United_States/ALAB.csv,3466,2024-08-20 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/ALAB.csv,603,2024-03-20 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
36,GlobalFoundries,GLOBALFOUNDRIES Inc.,GlobalFoundries Inc.,GFS,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Malta,NY,United States,https://gf.com,14000.0,2008.0,2021-10-28,20298754048,36.58,29950836736.0,54.58,price/United_States/GFS.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/GFS.csv,1203,2021-10-28 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
37,Credo Technology,Credo Technology Group Holding Ltd,Credo Technology Group Holding ,CRDO,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Grand Cayman,,Cayman Islands,https://credosemi.com,807.0,2008.0,2022-01-27,18461812736,107.56,48465604608.0,259.9,price/United_States/CRDO.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/CRDO.csv,1141,2022-01-27 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
38,United Microelectronics,United Microelectronics Corporation,United Microelectronics Corpora,UMC,Taiwan,Technology,Semiconductors,NYQ,NYSE,us_market,EQUITY,USD,Hsinchu City,,Taiwan,https://www.umc.com,20000.0,1980.0,2000-09-19,17397235712,6.81,48026447872.0,19.15,price/Taiwan/UMC.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/Taiwan/UMC.csv,6514,2000-09-19 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
39,AMEC,Advanced Micro-Fabrication Equipment Inc. China,ADVANCED MICRO-FABRICATION EQUI,688012.SS,China,Technology,Semiconductor Equipment & Materials,SHH,Shanghai,cn_market,EQUITY,CNY,Shanghai,,China,https://www.amec-inc.com,2963.0,2004.0,2019-07-22,16714623642,26.6945,359047233536.0,374.85,price/China/688012.SS.csv,3930,2023-08-10 09:30:00+08:00,2026-08-14 14:30:00+08:00,price_daily/China/688012.SS.csv,1715,2019-07-22 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
40,Coherent Corp.,Coherent Corp.,Coherent Corp.,COHR,United States,Technology,Scientific & Technical Instruments,NYQ,NYSE,us_market,EQUITY,USD,Saxonburg,PA,United States,https://www.coherent.com,,1971.0,1987-10-02,15977779200,102.79,63745159168.0,325.83,price/United_States/COHR.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/COHR.csv,9790,1987-10-02 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
41,Entegris,"Entegris, Inc.","Entegris, Inc.",ENTG,United States,Technology,Semiconductor Equipment & Materials,NMS,NasdaqGS,us_market,EQUITY,USD,Billerica,MA,United States,https://www.entegris.com,7700.0,1966.0,2000-07-11,11454924800,75.66,24636047360.0,161.76,price/United_States/ENTG.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/ENTG.csv,6563,2000-07-11 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
42,BE Semiconductor,BE Semiconductor Industries N.V.,BE Semiconductor Industries N.V,BESI.AS,Netherlands,Technology,Semiconductor Equipment & Materials,AMS,Amsterdam,nl_market,EQUITY,EUR,Duiven,,Netherlands,https://www.besi.com,1952.0,1995.0,1998-07-20,10973708009,135.043,18485790720.0,233.5,price/Netherlands/BESI.AS.csv,6556,2023-10-04 09:00:00+02:00,2026-08-14 17:00:00+02:00,price_daily/Netherlands/BESI.AS.csv,7223,1998-07-20 00:00:00+02:00,2026-08-14 00:00:00+02:00,True
43,GigaDevice Semiconductor,GigaDevice Semiconductor Inc.,GIGA DEVICE SEMICONDUCTOR INC,603986.SS,China,Technology,Semiconductors,SHH,Shanghai,cn_market,EQUITY,CNY,Beijing,,China,https://www.gigadevice.com,2333.0,2005.0,2016-08-18,10802146668,16.2668,292964532224.0,417.48,price/China/603986.SS.csv,4171,2023-08-10 09:30:00+08:00,2026-08-14 14:30:00+08:00,price_daily/China/603986.SS.csv,2423,2016-08-18 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
44,Alchip Technologies,"Alchip Technologies, Limited",ALCHIP TECHNOLOGIES LIMITD,3661.TW,Taiwan,Technology,Semiconductors,TAI,Taiwan,tw_market,EQUITY,TWD,Taipei,,Taiwan,https://www.alchip.com,,1992.0,2012-10-05,10554092866,130.529,345604489216.0,4210.0,price/Taiwan/3661.TW.csv,3638,2023-08-15 09:00:00+08:00,2026-08-14 13:00:00+08:00,price_daily/Taiwan/3661.TW.csv,3377,2012-10-05 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
45,Skyworks Solutions,"Skyworks Solutions, Inc.","Skyworks Solutions, Inc.",SWKS,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Irvine,CA,United States,https://www.skyworksinc.com,10000.0,1962.0,1984-09-07,10162232320,67.69,10471264256.0,69.62,price/United_States/SWKS.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/SWKS.csv,10565,1984-09-07 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
46,MACOM,"MACOM Technology Solutions Holdings, Inc.",MACOM Technology Solutions Hold,MTSI,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Lowell,MA,United States,https://www.macom.com,2000.0,1950.0,2012-03-15,10140196864,136.31,24166815744.0,316.44,price/United_States/MTSI.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/MTSI.csv,3624,2012-03-15 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
47,Novatek Microelectronics,Novatek Microelectronics Corp.,NOVATEK MICROELECTRONICS,3034.TW,Taiwan,Technology,Semiconductors,TAI,Taiwan,tw_market,EQUITY,TWD,Hsinchu City,,Taiwan,https://www.novatek.com.tw,,1997.0,2002-08-27,9666041636,15.8847,311558144000.0,512.0,price/Taiwan/3034.TW.csv,3639,2023-08-15 09:00:00+08:00,2026-08-14 13:00:00+08:00,price_daily/Taiwan/3034.TW.csv,5928,2002-08-27 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
48,Realtek,Realtek Semiconductor Corp.,REALTEK SEMICONDUCTOR CORP,2379.TW,Taiwan,Technology,Semiconductors,TAI,Taiwan,tw_market,EQUITY,TWD,Hsinchu City,,Taiwan,https://www.realtek.com,,1987.0,2000-01-04,9452903587,18.4316,369774231552.0,721.0,price/Taiwan/2379.TW.csv,3639,2023-08-15 09:00:00+08:00,2026-08-14 13:00:00+08:00,price_daily/Taiwan/2379.TW.csv,6618,2000-01-04 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
49,Lite-On Technology,Lite-On Technology Corporation,LITE-ON TECHNOLOGY CORP,2301.TW,Taiwan,Technology,Computer Hardware,TAI,Taiwan,tw_market,EQUITY,TWD,Taipei,,Taiwan,https://www.liteon.com,,1975.0,2000-01-04,9151832764,4.07172,606029152256.0,267.0,price/Taiwan/2301.TW.csv,3639,2023-08-15 09:00:00+08:00,2026-08-14 13:00:00+08:00,price_daily/Taiwan/2301.TW.csv,6618,2000-01-04 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
50,Lasertec,Lasertec Corporation,LASERTEC CORP,6920.T,Japan,Technology,Semiconductor Equipment & Materials,JPX,Tokyo,jp_market,EQUITY,JPY,Yokohama,,Japan,https://www.lasertec.co.jp,,1960.0,2010-02-22,8918025914,98.88,3479462477824.0,38820.0,price/Japan/6920.T.csv,5082,2023-08-18 09:00:00+09:00,2026-08-14 15:00:00+09:00,price_daily/Japan/6920.T.csv,4051,2010-02-22 00:00:00+09:00,2026-08-14 00:00:00+09:00,True
51,San’an Optoelectronics,"Sanan Optoelectronics Co.,Ltd",SANAN OPTOELECTRONICS CO. LTD.,600703.SS,China,Technology,Semiconductors,SHH,Shanghai,cn_market,EQUITY,CNY,Xiamen,,China,https://www.sanan-e.com,15919.0,1993.0,1996-05-28,8772086640,1.75828,67750871040.0,13.58,price/China/600703.SS.csv,4045,2023-08-10 09:30:00+08:00,2026-08-14 14:30:00+08:00,price_daily/China/600703.SS.csv,7513,1996-05-28 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
52,China Resources Microelectronics,China Resources Microelectronics Limited,CHINA RESOURCES MICROELECTRONIC,688396.SS,China,Technology,Semiconductors,SHH,Shanghai,cn_market,EQUITY,CNY,Wuxi,,China,https://www.crmicro.com,11626.0,1997.0,2020-02-27,8642677778,6.51034,80662233088.0,60.73,price/China/688396.SS.csv,3874,2023-08-10 09:30:00+08:00,2026-08-14 14:30:00+08:00,price_daily/China/688396.SS.csv,1570,2020-02-27 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
53,Qorvo,"Qorvo, Inc.","Qorvo, Inc.",QRVO,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Greensboro,NC,United States,https://www.qorvo.com,5200.0,1957.0,2015-01-02,7793153536,84.11,8655069184.0,98.11,price/United_States/QRVO.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/QRVO.csv,2920,2015-01-02 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
54,Nova Measuring Instruments,Nova Ltd.,Nova Ltd.,NVMI,Israel,Technology,Semiconductor Equipment & Materials,NMS,NasdaqGS,us_market,EQUITY,USD,Rehovot,,Israel,https://www.novami.com,1612.0,1993.0,2000-04-11,7748396032,263.55,13298791424.0,418.12,price/Israel/NVMI.csv,5078,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/Israel/NVMI.csv,6625,2000-04-11 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
55,SCREEN Holdings,"SCREEN Holdings Co., Ltd.",SCREEN HOLDINGS CO LTD,7735.T,Japan,Technology,Semiconductor Equipment & Materials,JPX,Tokyo,jp_market,EQUITY,JPY,Kyoto,,Japan,https://www.screen.co.jp,7170.0,1943.0,2001-01-01,7307228402,77.3726,2699228610560.0,14275.0,price/Japan/7735.T.csv,5090,2023-08-18 09:00:00+09:00,2026-08-14 15:00:00+09:00,price_daily/Japan/7735.T.csv,6382,2001-01-01 00:00:00+09:00,2026-08-14 00:00:00+09:00,True
56,National Silicon Industry Group,"National Silicon Industry Group Co., Ltd.",NATIONAL SILICON INDUSTRY GROUP,688126.SS,China,Technology,Semiconductor Equipment & Materials,SHH,Shanghai,cn_market,EQUITY,CNY,Shanghai,,China,https://www.nsig.com,3640.0,2015.0,2020-04-20,7035943984,2.56115,85600108544.0,25.9,price/China/688126.SS.csv,3864,2023-08-10 09:30:00+08:00,2026-08-14 14:30:00+08:00,price_daily/China/688126.SS.csv,1534,2020-04-20 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
57,VeriSilicon Microelectronics,"VeriSilicon Microelectronics (Shanghai) Co., Ltd.",VERISILICON MICROELECTRONICS (S,688521.SS,China,Technology,Semiconductors,SHH,Shanghai,cn_market,EQUITY,CNY,Shanghai,,China,https://www.verisilicon.com,2057.0,2001.0,2020-08-18,6888155489,13.1025,109011714048.0,207.28,price/China/688521.SS.csv,3917,2023-08-10 09:30:00+08:00,2026-08-14 14:30:00+08:00,price_daily/China/688521.SS.csv,1453,2020-08-18 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
58,Lattice Semiconductor,Lattice Semiconductor Corporation,Lattice Semiconductor Corporati,LSCC,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Hillsboro,OR,United States,https://www.latticesemi.com,1174.0,1983.0,1989-11-09,6736517120,48.99,18492604416.0,130.46,price/United_States/LSCC.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/LSCC.csv,9257,1989-11-09 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
59,SG Micro,SG Micro Corp,SGMC,300661.SZ,China,Technology,Semiconductors,SHZ,Shenzhen,cn_market,EQUITY,CNY,Beijing,,China,https://www.sg-micro.com,1835.0,2007.0,2017-06-06,6420108131,10.3902,84324540416.0,123.0,price/China/300661.SZ.csv,4368,2023-08-10 09:30:00+08:00,2026-08-14 14:30:00+08:00,price_daily/China/300661.SZ.csv,2233,2017-06-06 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
60,Silan Microelectronics,"Hangzhou Silan Microelectronics Co., Ltd.",HANGZHOU SILAN MICROELECTRONICS,600460.SS,China,Technology,Semiconductors,SHH,Shanghai,cn_market,EQUITY,CNY,Hangzhou,,China,https://www.silan.com.cn,11113.0,1997.0,2003-03-11,6022550871,3.61917,54498353152.0,32.75,price/China/600460.SS.csv,4062,2023-08-10 09:30:00+08:00,2026-08-14 14:30:00+08:00,price_daily/China/600460.SS.csv,5743,2003-03-11 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
61,Vanguard International Semiconductor,Vanguard International Semiconductor Corporation,VANGUARD INTERNATIONAL SEMICOND,5347.TWO,Taiwan,Technology,Semiconductors,TWO,Taipei Exchange,tw_market,EQUITY,TWD,Hsinchu City,,Taiwan,https://www.vis.com.tw,,1994.0,2007-12-31,5938850766,3.18029,301473497088.0,160.5,price/Taiwan/5347.TWO.csv,3634,2023-08-15 09:00:00+08:00,2026-08-14 13:00:00+08:00,price_daily/Taiwan/5347.TWO.csv,4562,2007-12-31 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
62,HANMI Semiconductor,"HANMI Semiconductor Co., Ltd.",HANMISemi,042700.KS,South Korea,Technology,Semiconductor Equipment & Materials,KSC,KSE,kr_market,EQUITY,KRW,Incheon,,South Korea,https://www.hanmisemi.com,698.0,1980.0,2005-07-25,5919532218,62.4074,21721337823232.0,229000.0,price/South_Korea/042700.KS.csv,4367,2023-08-14 09:00:00+09:00,2026-08-14 14:00:00+09:00,price_daily/South_Korea/042700.KS.csv,5205,2005-07-25 00:00:00+09:00,2026-08-14 00:00:00+09:00,True
63,Allegro MicroSystems,"Allegro MicroSystems, Inc.","Allegro MicroSystems, Inc.",ALGM,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Manchester,NH,United States,https://www.allegromicro.com,4250.0,1990.0,2020-10-29,5780755456,31.26,8274386944.0,44.39,price/United_States/ALGM.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/ALGM.csv,1454,2020-10-29 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
64,Global Unichip Corp.,Global Unichip Corp.,GLOBAL UNICHIP CORP.,3443.TW,Taiwan,Technology,Semiconductors,TAI,Taiwan,tw_market,EQUITY,TWD,Hsinchu City,,Taiwan,https://www.guc-asic.com,,1998.0,2006-11-03,5636186566,42.0576,732370108416.0,5465.0,price/Taiwan/3443.TW.csv,3639,2023-08-15 09:00:00+08:00,2026-08-14 13:00:00+08:00,price_daily/Taiwan/3443.TW.csv,4847,2006-11-03 00:00:00+08:00,2026-08-14 00:00:00+08:00,True
